,id,url,primaryTitle,originalTitle,type,description,primaryImage,trailer,contentRating,startYear,endYear,releaseDate,interests,countriesOfOrigin,externalLinks,spokenLanguages,filmingLocations,productionCompanies,budget,grossWorldwide,genres,isAdult,runtimeMinutes,averageRating,numVotes,metascore
12,tt0369226,https://www.imdb.com/title/tt0369226/,Alone in the Dark,Alone in the Dark,movie,A detective of the paranormal slowly unravels mysterious events with deadly results.,https://m.media-amazon.com/images/M/MV5BMTIxNDI5ODY2MF5BMl5BanBnXkFtZTcwNzQ1NzcyMQ@@._V1_.jpg,https://www.youtube.com/watch?v=P-Gc5bgZ2B8,R,2005,,2005-01-28,"['Action', 'Horror', 'Sci-Fi']","['CA', 'DE', 'US']",['https://www.okeyoyna.com'],['en'],"['Halifax, Nova Scotia, Canada']","[{'id': 'co0021154', 'name': 'Boll Kino Beteiligungs GmbH & Co. KG'}, {'id': 'co0137814', 'name': 'Herold Productions'}, {'id': 'co0065717', 'name': 'Brightlight Pictures'}]",20000000.0,12693645.0,"['Action', 'Horror', 'Sci-Fi']",False,96,2.4,47741,9.0
13,tt1098327,https://www.imdb.com/title/tt1098327/,Dragonball Evolution,Dragonball Evolution,movie,"The young warrior Son Goku sets out on a quest, racing against time and the vengeful King Piccolo, to collect a set of seven magical orbs that will grant their wielder unlimited power.",https://m.media-amazon.com/images/M/MV5BZTg0ZGM3NmItNmU4ZC00YWIxLWI0Y2UtMzNmYjE4MjIwM2QxXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=T4_wHfz2qUA,PG,2009,,2009-04-10,"['Martial Arts', 'Superhero', 'Action', 'Adventure', 'Fantasy', 'Sci-Fi', 'Thriller']","['US', 'GB', 'MX', 'HK']",,"['en', 'ja']","['Sierra de Organos, Sombrerete, Zacatecas, Mexico']","[{'id': 'co0000756', 'name': 'Twentieth Century Fox'}, {'id': 'co0174373', 'name': 'Dune Entertainment'}, {'id': 'co0302241', 'name': 'Star Overseas'}]",30000000.0,55720772.0,"['Action', 'Adventure', 'Fantasy']",False,85,2.5,82743,45.0
14,tt0249516,https://www.imdb.com/title/tt0249516/,Foodfight!,Foodfight!,movie,The evil Brand X joins a supermarket that becomes a city after closing time.,https://m.media-amazon.com/images/M/MV5BMTYwMDY1MDI0NV5BMl5BanBnXkFtZTgwODAyODk3NzE@._V1_.jpg,https://www.youtube.com/watch?v=uROQ9nplxIY,PG,2012,,2013-02-12,"['Computer Animation', 'High-Concept Comedy', 'Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Mystery']","['US', 'KR', 'GB', 'HK']",,['en'],,"[{'id': 'co0280649', 'name': 'Threshold Animation Studios'}, {'id': 'co0070928', 'name': 'Threshold Entertainment'}, {'id': 'co0037920', 'name': 'Threshold Digital Research Labs'}]",65000000.0,120141.0,"['Action', 'Adventure', 'Animation']",False,91,1.3,12332,
15,tt7431594,https://www.imdb.com/title/tt7431594/,Race 3,Race 3,movie,Relationships and loyalties of a criminal family planning its next big heist are tested when some shocking revelations strike them.,https://m.media-amazon.com/images/M/MV5BYzE1ZWRlMzAtYTcxMi00M2ZjLTk5ZTItMWYzZGI0NjE3NDlhXkEyXkFqcGc@._V1_.jpg,,Not Rated,2018,,2018-06-15,"['Action', 'Thriller']",['IN'],,['hi'],"['Abu Dhabi, UAE']","[{'id': 'co0541353', 'name': 'Salman Khan Films'}, {'id': 'co0025288', 'name': 'Tips Films Pvt. Ltd.'}, {'id': 'co0123351', 'name': 'Benetone Films'}]",,29969693.0,"['Action', 'Thriller']",False,160,1.9,49474,
16,tt0096870,https://www.imdb.com/title/tt0096870/,Going Overboard,Going Overboard,movie,A struggling young comedian takes a menial job on a cruise ship hoping for his big chance to make it in the world of cruise-ship comedy.,https://m.media-amazon.com/images/M/MV5BMTc5NDQzNTI5Nl5BMl5BanBnXkFtZTcwMDgxMTgzMQ@@._V1_.jpg,https://www.youtube.com/watch?v=MKNZqnJ0hzU,R,1989,,1989-10-27,"['Parody', 'Slapstick', 'Comedy']",['US'],,['en'],"['Cancún, Benito Juárez, Quintana Roo, Mexico']","[{'id': 'co0702077', 'name': 'Theater Technologies'}, {'id': 'co0847961', 'name': 'L.A. Dreams Productions'}]",800000.0,,['Comedy'],False,99,1.8,14922,
17,tt0339034,https://www.imdb.com/title/tt0339034/,From Justin to Kelly,From Justin to Kelly,movie,"A waitress from Texas and a college student from Pennsylvania meet during spring break in Fort Lauderdale, Florida and come together through their shared love of singing.",https://m.media-amazon.com/images/M/MV5BOTUzM2FhYjYtNzZiMi00ZDNhLWFkYzItNTBjZGQ0ODZiZDNkXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=YZriuov42Gw,PG,2003,,2003-06-20,"['Pop Musical', 'Romantic Comedy', 'Comedy', 'Music', 'Musical', 'Romance']",['US'],,['en'],"['Fort Lauderdale, Florida, USA']","[{'id': 'co0085773', 'name': '19 Entertainment'}]",12000000.0,4928883.0,"['Comedy', 'Music', 'Musical']",False,81,1.9,27188,14.0
18,tt0808240,https://www.imdb.com/title/tt0808240/,Turks in Space,Dünyayi Kurtaran Adam'in Oglu,movie,"The son of ""The Man Who Saved the World"" is searching for a crew member of his spaceship who has been missing for eight years.",https://m.media-amazon.com/images/M/MV5BYWJhZGZlZjUtY2QwYS00Y2JkLWEzODUtZmNlODNiYmNiMmFkXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=Ko0Q2fUsNN4,Not Rated,2006,,2006-12-15,"['Action', 'Comedy', 'Sci-Fi']",['TR'],"['http://www.beyazperde.com/filmler/film-125161/', 'https://boxofficeturkiye.com/film/dunyayi-kurtaran-adamin-oglu-2006225?']",['tr'],"['Nevsehir, Turkey']","[{'id': 'co0166018', 'name': 'Tiglon'}, {'id': 'co0142507', 'name': 'Zero Film'}]",5000000.0,2381856.0,"['Action', 'Comedy', 'Sci-Fi']",False,110,1.5,16913,
19,tt1073498,https://www.imdb.com/title/tt1073498/,Meet the Spartans,Meet the Spartans,movie,"A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.",https://m.media-amazon.com/images/M/MV5BMmQ3NTAyODYtZjAxMy00ZTE4LWJhNmEtZGUyZjhlOTlhMTE1XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=RY-zJtYYolo,PG-13,2008,,2008-01-25,"['Parody', 'Slapstick', 'Comedy', 'Fantasy']",['US'],,['en'],"['New Orleans, Louisiana, USA']","[{'id': 'co0007127', 'name': 'New Regency Productions'}]",30000000.0,85897593.0,"['Comedy', 'Fantasy']",False,87,2.8,113346,9.0
20,tt0299930,https://www.imdb.com/title/tt0299930/,Gigli,Gigli,movie,"Larry Gigli is assigned by a crime boss to kidnap the brother of a prominent district attorney, and a beautiful woman known only as Ricki is sent to stay with him to make sure he doesn't mess up the job.",https://m.media-amazon.com/images/M/MV5BMTE5MTYxMDg5NV5BMl5BanBnXkFtZTYwNjc5MzQ3._V1_.jpg,https://www.youtube.com/watch?v=qDED4FPmuZo,R,2003,,2003-08-01,"['Comedy', 'Crime', 'Romance']",['US'],['http://www.columbiatristar.fr/k/gigli'],['en'],"['Long Beach, California, USA']","[{'id': 'co0003580', 'name': 'Revolution Studios'}, {'id': 'co0045196', 'name': 'City Light Films'}, {'id': 'co0058884', 'name': 'Casey Silver Productions'}]",54000000.0,7266209.0,"['Comedy', 'Crime', 'Romance']",False,121,2.6,51478,18.0
21,tt0421051,https://www.imdb.com/title/tt0421051/,Daniel the Wizard,Daniel der Zauberer,movie,"Evil assassins want to kill Daniel Kublbock, the third runner up for the German Idols.",https://m.media-amazon.com/images/M/MV5BYTk2NmUxNDUtMjlkZi00YzM0LWI0OWMtYjcxMWIwZGJhOGQ4XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=W2vKfxXE7_4,Not Rated,2004,,2004-08-12,"['Comedy', 'Crime', 'Fantasy', 'Music']",['DE'],['http://www.daniel-der-zauberer.de/'],['de'],"['Los Angeles, California, USA']","[{'id': 'co0131378', 'name': 'Lommel Entertainment'}, {'id': 'co0053517', 'name': 'Peter Schamoni Film'}]",,,"['Comedy', 'Crime', 'Fantasy']",False,81,1.2,15081,
22,tt0466342,https://www.imdb.com/title/tt0466342/,Date Movie,Date Movie,movie,"Spoof of romantic comedies which focuses on a man, his crush, his parents, and her father.",https://m.media-amazon.com/images/M/MV5BYzNjNThhNjUtMmQ3YS00YmQzLWJmMjktMWMyODMyMDc4ZmJkXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=23QoNhfK_qg,PG-13,2006,,2006-02-17,"['Parody', 'Romantic Comedy', 'Slapstick', 'Comedy', 'Romance']","['CH', 'US']",,['en'],"['Church of the Angels - 1100 Avenue 64, Pasadena, California, USA']","[{'id': 'co0007127', 'name': 'New Regency Productions'}, {'id': 'co0166202', 'name': 'Epsilon Motion Pictures'}]",20000000.0,85749034.0,"['Comedy', 'Romance']",False,83,2.8,63261,11.0
23,tt5697572,https://www.imdb.com/title/tt5697572/,Cats,Cats,movie,A tribe of cats called the Jellicles must decide yearly which one will ascend to the Heaviside Layer and come back to a new Jellicle life.,https://m.media-amazon.com/images/M/MV5BYjhmMjcxNDUtNmVjZS00MjA1LTgzZjgtOTRjMTk4YjU1NDcwXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=FtSd844cI7U,PG,2019,,2019-12-20,"['Pop Musical', 'Comedy', 'Drama', 'Family', 'Fantasy', 'Musical']","['GB', 'US', 'CA', 'AU', 'JP', 'CN']","['http://www.facebook.com/catsmovie', 'http://www.instagram.com/catsmovie/']",['en'],"['Warner Bros. Studios Leavesden, Warner Drive, Leavesden, Watford, Hertfordshire, England, UK']","[{'id': 'co0057311', 'name': 'Working Title Films'}, {'id': 'co0009119', 'name': 'Amblin Entertainment'}, {'id': 'co0739708', 'name': 'Perfect World Pictures'}]",95000000.0,75558925.0,"['Comedy', 'Drama', 'Family']",False,110,2.8,57606,32.0
24,tt0118665,https://www.imdb.com/title/tt0118665/,Baby Geniuses,Baby Geniuses,movie,"Scientists hold super intelligent talking babies captive, but things take a turn for the worse when a mix-up occurs between a baby genius and its twin.",https://m.media-amazon.com/images/M/MV5BZGU1NTE0YWUtY2FkZS00MGE5LWI4MDItMmE5NzYzY2YzMTY1XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=-gDV8LSw4NY,PG,1999,,1999-03-12,"['Comedy', 'Crime', 'Family', 'Sci-Fi']",['US'],,['en'],"['Circus Circus Casino - 2880 Las Vegas Boulevard South, Las Vegas, Nevada, USA']","[{'id': 'co0002667', 'name': 'Crystal Sky Worldwide'}, {'id': 'co0030547', 'name': 'Triumph'}]",12000000.0,36450736.0,"['Comedy', 'Crime', 'Family']",False,97,2.6,28041,7.0
25,tt0118589,https://www.imdb.com/title/tt0118589/,Glitter,Glitter,movie,"A young singer dates a disc jockey who helps her get into the music business, but their relationship become complicated as she ascends to super stardom.",https://m.media-amazon.com/images/M/MV5BNWI1ZDEzMDgtMGJmZC00MzE5LTkxODMtZThhMGU3NjlhYTMxXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=QaKxGrajnzY,PG-13,2001,,2001-09-21,"['Drama', 'Music', 'Romance']","['US', 'CA']",['https://mt2.org/uyeler/glitter.6500/'],['en'],"['World Trade Center, New York City, New York, USA']","[{'id': 'co0000756', 'name': 'Twentieth Century Fox'}, {'id': 'co0050868', 'name': 'Columbia Pictures'}, {'id': 'co0041390', 'name': 'Maroon Entertainment'}]",22000000.0,5272594.0,"['Drama', 'Music', 'Romance']",False,104,2.4,24312,14.0
26,tt1883367,https://www.imdb.com/title/tt1883367/,The Human Centipede III (Final Sequence),The Human Centipede III (Final Sequence),movie,"Taking inspiration from The Human Centipede films, the warden of a notorious and troubled prison looks to create a 500-person human centipede as a solution to his problems.",https://m.media-amazon.com/images/M/MV5BMzU1OTUyNjE1M15BMl5BanBnXkFtZTgwMjc4NjI1NTE@._V1_.jpg,https://www.youtube.com/watch?v=Pijm_Cgc5g0,Not Rated,2015,,2015-06-18,"['Body Horror', 'Dark Comedy', 'Splatter Horror', 'Comedy', 'Horror']","['US', 'NL']",,['en'],,"[{'id': 'co0121028', 'name': 'Six Entertainment'}]",,16184.0,"['Comedy', 'Horror']",False,102,2.7,21266,5.0
27,tt11762434,https://www.imdb.com/title/tt11762434/,Cosmic Sin,Cosmic Sin,movie,Seven rogue soldiers launch a preemptive strike against a newly discovered alien civilization in the hopes of ending an interstellar war before it starts.,https://m.media-amazon.com/images/M/MV5BODI4MTg1NDMtNTg2MC00MjQwLThjNDUtMzk3MjkyNjc5OGMyXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=9HTWDnKs6hA,R,2021,,2021-03-12,"['B-Action', 'Space Sci-Fi', 'Action', 'Sci-Fi']",['US'],,['en'],"['OFS, Jimmy Carter Blvd, Norcross, Georgia, USA']","[{'id': 'co0554413', 'name': '308 Ent'}, {'id': 'co0474730', 'name': 'BondIt Media Capital'}]",,349757.0,"['Action', 'Sci-Fi']",False,88,2.5,15577,9.0
28,tt14121726,https://www.imdb.com/title/tt14121726/,Jeepers Creepers: Reborn,Jeepers Creepers: Reborn,movie,"Forced to travel with her boyfriend, Laine begins to experience premonitions associated with the urban myth of The Creeper. She believes that something supernatural has been summoned - and that she is at the center of it all.",https://m.media-amazon.com/images/M/MV5BODk5ZmVmODMtMWNjNS00ODc3LWE0Y2UtYWI3MGI2ZTA0NjU4XkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=eNH2bRZ6gJw,R,2022,,2022-09-19,"['Horror', 'Mystery', 'Thriller']","['US', 'GB']","['https://www.facebook.com/JeepersCreepersOfficial/', 'https://www.instagram.com/jeeperscreepersofficial/']",['en'],"['Black Hangar Studios, Lasham, Alton GU34 5SR, United Kingdom']","[{'id': 'co0427398', 'name': 'Orwo Studios'}, {'id': 'co0242024', 'name': 'Infinity Films'}, {'id': 'co0941200', 'name': 'Ink Pine Media'}]",,6175213.0,"['Horror', 'Mystery', 'Thriller']",False,88,2.6,15877,
29,tt12996154,https://www.imdb.com/title/tt12996154/,365 Days: This Day,365 Days: This Day,movie,Laura and Massimo are back and stronger than ever. But Massimo's family ties and a mysterious man bidding for Laura's heart complicate the lovers' lives.,https://m.media-amazon.com/images/M/MV5BMzJhYmNkNTctM2MxNS00NzY4LWFkYjYtNjFiODhjYzg4MDRhXkEyXkFqcGc@._V1_.jpg,https://www.youtube.com/watch?v=pyM3z73oMAk,TV-MA,2022,,2022-04-27,"['Steamy Romance', 'Drama', 'Romance']",['PL'],"['https://www.apzomedia.com/365-days/', 'https://www.netflix.com/title/81397576/']","['pl', 'it', 'en', 'es']",['Italy'],"[{'id': 'co0726975', 'name': 'Ekipa'}, {'id': 'co0759645', 'name': 'Open Mind Production'}, {'id': 'co0144901', 'name': 'Netflix'}]",,,"['Drama', 'Romance']",False,111,2.7,26253,
30,tt12915716,https://www.imdb.com/title/tt12915716/,Adipurush,Adipurush,movie,A modern adaptation of the Indian epic Ramayana which follows the exiled prince Raghav's journey to rescue his wife Janaki from the demon king Lankesh.,https://m.media-amazon.com/images/M/MV5BMjA2ODRkMGUtNzUxNC00MmM5LTk3YjQtNTkxNTFlNzFiMjNiXkEyXkFqcGc@._V1_.jpg,,,2023,,2023-06-16,"['Action Epic', 'Epic', 'Action', 'Drama']",['IN'],,"['te', 'hi']",,"[{'id': 'co0310182', 'name': 'RKB Creative'}, {'id': 'co0789695', 'name': 'Retrophiles'}, {'id': 'co0722400', 'name': 'T-Series Films'}]",82352941.0,1077952.0,"['Action', 'Drama']",False,179,2.7,135399,
31,tt14723224,https://www.imdb.com/title/tt14723224/,The Cost of Deception,Elk*rtuk,movie,"When a young, ambitious market researcher finds out her boss is involved in the leaking of a scandalous Prime Minister speech, she decides to investigate the case to gain a position among the big-shots. Based on actual events.",https://m.media-amazon.com/images/M/MV5BZmFlNzlmM2YtMTRkZC00OGZhLWI0YTQtOWI5YWQwNzEyMWQ4XkEyXkFqcGc@._V1_.jpg,,,2021,,2021-10-21,"['True Crime', 'Action', 'Crime', 'Drama', 'History', 'Thriller']",['HU'],"['https://www.facebook.com/ELKxRTUK/?__tn__=-UC*F', 'https://megafilm.hu/cikkek/elkurtuk']",['hu'],"['Budapest, Hungary']","[{'id': 'co0123764', 'name': 'Megafilm'}]",,600610.0,"['Action', 'Crime', 'Drama']",False,125,1.5,40809,
